Type,Name,Status,Score /5,Author,Completed Date,Publisher,Publishing/Release Date,Link,Summary,Comments,Order
Pluralsight,ASP.NET Core 6 SignalR Fundamentals,Ready to Start,,Roland Guijt,,Pluralsight,"July 5, 2022",https://app.pluralsight.com/library/courses/asp-dot-net-core-6-signalr-fundamentals/table-of-contents,Is it possible to have a web page automatically update when the data it displays has to change? Yes. The technology is built into http://asp.net/ Core. In this course you’ll learn all about it.,,
C# Playlist Pluralsight,"C# 5 Events, Delegates and Lambdas",Ready to Start,,Dan Wahlin,,Pluralsight,"April 13, 2013",https://app.pluralsight.com/library/courses/csharp-events-delegates/table-of-contents,"This course provides an in-depth look at how events, delegates and lambdas work in the C# language and .NET framework.",,
Pluralsight,Implementing Autofac in ASP.NET,Ready to Start,,Miguel Castro,,Pluralsight,"September 11, 2019",https://app.pluralsight.com/library/courses/autofac-aspnet-implementing/table-of-contents,Autofac is one of the more powerful yet easy to use DI containers out there. But you still need to know how to properly implement it in your applications. This course will help you get there.,,
TypeScript O'Reilly Playlist,Pro TypeScript: Application-Scale JavaScript Development,Ready to Start,,Steve Fenton,,O'Reilly Media,"November 1, 2017",https://learning.oreilly.com/library/view/pro-typescript-application-scale/9781484232491/,"Explore the features of this innovative open source language in depth, from working with the type system through object-orientation to understanding the runtime and the TypeScript compiler. This fully revised and updated second edition of Steve Fenton’s popular book covers everything you need to discover this fascinating language and transform your experience of JavaScript development.",,
TypeScript O'Reilly Playlist,Programming TypeScript,Ready to Start,,Boris Cherny,,O'Reilly Media,"May 1, 2019",https://learning.oreilly.com/library/view/programming-typescript/9781492037644/,"• Start with the basics: Learn about TypeScript’s different types and type operators, including what they’re for and how they’re used
• Explore advanced topics: Understand TypeScript’s sophisticated type system, including how to safely handle errors and build asynchronous programs
• Dive in hands-on: Use TypeScript with your favorite frontend and backend frameworks, migrate your existing JavaScript project to TypeScript, and run your TypeScript application in production",,
TypeScript O'Reilly Playlist,Effective TypeScript,Ready to Start,,Dan Vanderkam,,O'Reilly Media,"October 20, 2019",https://learning.oreilly.com/library/view/effective-typescript/9781492053736/,"TypeScript is a typed superset of JavaScript with the potential to solve many of the headaches for which JavaScript is famous. But TypeScript has a learning curve of its own, and understanding how to use it effectively can take time. This book guides you through 62 specific ways to improve your use of TypeScript.
Author Dan Vanderkam, a principal software engineer at Sidewalk Labs, shows you how to apply these ideas, following the format popularized by Effective C++ and Effective Java (both from Addison-Wesley). You’ll advance from a beginning or intermediate user familiar with the basics to an advanced user who knows how to use the language well.
Effective TypeScript is divided into eight chapters:
• Getting to Know TypeScript
• TypeScript’s Type System
• Type Inference
• Type Design
• Working with any
• Types Declarations and @types
• Writing and Running Your Code
• Migrating to TypeScript",,
TypeScript O'Reilly Playlist,TypeScript Microservices,Ready to Start,,Parth Ghiya,,O'Reilly Media,"May 1, 2018",https://learning.oreilly.com/library/view/typescript-microservices/9781788830751/,"• Learn to build message-driven services for effective communication
• Design microservices API using Reactive programming design patterns
• Deploy, scale and monitor microservices for consistent high performance",,
TypeScript O'Reilly Playlist,Programming with TypeScript,Ready to Start,,Vlad Riscutia,,O'Reilly Media,"February 19, 2019",https://learning.oreilly.com/library/view/programming-with-types/9781617296413/,"Programming with Types
 teaches type-based techniques for writing software that’s safe, correct, easy to maintain, and practically self-documenting. Designed for working developers, this clearly written tutorial sticks with the practical benefits of type systems for everyday programming tasks. Following real-world examples coded in TypeScript, you’ll build your skills from primitive types up to more-advanced concepts like functors and monads.",,
TypeScript Pluralsight Playlist,https://app.pluralsight.com/library/courses/creating-typescript-declaration-file,Ready to Start,,Matthew Kruczek,,Pluralsight,"March 30, 2020",https://app.pluralsight.com/library/courses/creating-typescript-declaration-file/table-of-contents,"Knowing how to create TypeScript declaration files is an essential skill for any TypeScript developer. This course covers the in’s and out’s of TypeScript declaration files, including what they are, why they are useful, and how to create them.",,10
TypeScript Pluralsight Playlist,Using Specialized Types and Language Features in TypeScript,Ready to Start,,Hendrik Swanepoel,,Pluralsight,"November 21, 2019",https://app.pluralsight.com/library/courses/typescript-specialized-types-language-features/table-of-contents,Ever stumbled across a TypeScript issue and became totally overwhelmed with the abstract documentation of advanced concepts? This course will help you solve even the most challenging typing and modeling issues that you will encounter in TypeScript.,,9
